"desc","zip","title"
"BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06",19001,"Fire: FIRE ALARM"
"DEKALB PIKE & CONNECTING ROAD; UPPER MERION; 2020-01-03 @ 17:37:29",NA,"Traffic: DISABLED VEHICLE"
"EGYPT RD & CRAWFORD RD; LOWER PROVIDENCE; 2020-01-03 @ 17:38:58",19403,"Traffic: VEHICLE ACCIDENT"
"W MAIN ST;  NORRISTOWN; 2020-01-03 @ 17:44:55",NA,"EMS: SYNCOPAL EPISODE"
"S GULPH RD;  UPPER MERION; 2020-01-03 @ 17:43:04",19406,"EMS: UNKNOWN MEDICAL EMERGENCY"
"NEIFFER RD & YERGER RD; LOWER FREDERICK; 2020-01-03 @ 17:47:39",19473,"Traffic: VEHICLE ACCIDENT"
"HANOVER ST & HARP FARM RD; CHESTER COUNTY; 2020-01-03 @ 17:55:17",NA,"Traffic: VEHICLE ACCIDENT"
"HANOVER ST & HARP FARM RD;  CHESTER COUNTY; 2020-01-03 @ 17:57:43",NA,"EMS: VEHICLE ACCIDENT"
"MOORE ST & ARCH ST; NORRISTOWN; 2020-01-03 @ 17:56:41",19401,"Traffic: VEHICLE ACCIDENT"
"LONGFORD RD & PORT PROVIDENCE RD; UPPER PROVIDENCE; 2020-01-03 @ 17:56:43",19460,"Fire: FIRE INVESTIGATION"
"MAIN AVE & RIDGE PIKE;  PLYMOUTH; 2020-01-03 @ 17:59:18",19428,"EMS: SYNCOPAL EPISODE"
"OLD WELSH RD & OLD YORK RD; ABINGTON; 2020-01-03 @ 18:03:32",19001,"Traffic: DISABLED VEHICLE"
"N LIMEKILN PIKE;  UPPER DUBLIN; 2020-01-03 @ 18:08:02",NA,"EMS: VEHICLE ACCIDENT"
"N LIMEKILN PIKE; UPPER DUBLIN; 2020-01-03 @ 18:09:58",19038,"Fire: VEHICLE ACCIDENT"
"N LIMEKILN PIKE & FORT WASHINGTON AVE; UPPER DUBLIN; 2020-01-03 @ 18:08:08",19002,"Traffic: VEHICLE ACCIDENT"
"GODDARD BLVD & VALLEY GREEN LN;  UPPER MERION; 2020-01-03 @ 18:16:19",19406,"EMS: CARDIAC EMERGENCY"
"HILDEBRANDT RD & LITTLE RD;  NEW HANOVER; 2020-01-03 @ 18:20:12",18074,"EMS: UNCONSCIOUS SUBJECT"
"EGYPT RD & S TROOPER RD; LOWER PROVIDENCE; 2020-01-03 @ 18:17:01",19403,"Traffic: VEHICLE ACCIDENT"
"MEETINGHOUSE RD & DEKALB PIKE;  LOWER GWYNEDD; 2020-01-03 @ 18:25:18",19454,"EMS: RESPIRATORY EMERGENCY"
"BETHLEHEM PIKE & NORTH WALES RD; MONTGOMERY; 2020-01-03 @ 18:24:50",19454,"Traffic: VEHICLE ACCIDENT"
"EGYPT RD & S TROOPER RD; WEST NORRITON; 2020-01-03 @ 18:17:01",19403,"Traffic: VEHICLE ACCIDENT"
"GERMANTOWN PIKE & RIDGE PIKE; LOWER PROVIDENCE; 2020-01-03 @ 18:21:43",19426,"Traffic: VEHICLE ACCIDENT"
"PAWLINGS RD & STATION AVE; LOWER PROVIDENCE; 2020-01-03 @ 18:28:12",19460,"Traffic: VEHICLE ACCIDENT"
"E SCHUYLKILL RD & CEMETERY RD; CHESTER COUNTY; 2020-01-03 @ 18:40:34",19465,"Traffic: VEHICLE ACCIDENT"
"MORRIS RD & NORTH WALES RD; WORCESTER; 2020-01-03 @ 18:37:50",19446,"Traffic: VEHICLE ACCIDENT"
"PARK AVE & MORELAND RD;  UPPER MORELAND; 2020-01-03 @ 18:40:57",19090,"EMS: VEHICLE ACCIDENT"
"PARK AVE & MORELAND RD; UPPER MORELAND; 2020-01-03 @ 18:41:51",19090,"Traffic: VEHICLE ACCIDENT"
"CLEMENS RD & FORTY FOOT RD;  HATFIELD TOWNSHIP; 2020-01-03 @ 18:50:08",19440,"EMS: HEMORRHAGING"
"VOLPE RD & FAIRFIELD RD;  PLYMOUTH; 2020-01-03 @ 18:52:02",19462,"EMS: ALLERGIC REACTION"
"BUTTERCUP CIR & CRESTVIEW BLVD;  SKIPPACK; 2020-01-03 @ 18:58:51",19426,"EMS: ALLERGIC REACTION"
"POTTSTOWN AVE;  PENNSBURG; 2020-01-03 @ 19:00:38",18073,"EMS: FALL VICTIM"
"GERMANTOWN PIKE & EINSTEIN WAY;  EAST NORRITON; 2020-01-03 @ 19:02:58",19403,"EMS: SUBJECT IN PAIN"
"BLUE BIRD RD AND BARNSWALLOW LN;  LOWER MORELAND; 2020-01-03 @ 19:14:56",19006,"EMS: ABDOMINAL PAINS"
"VILLAGE CIR & GROUSE CT;  WHITPAIN; 2020-01-03 @ 19:15:51",19422,"EMS: FALL VICTIM"
"HIGH ST & S WASHINGTON ST;  POTTSTOWN; 2020-01-03 @ 19:12:04",19464,"EMS: MEDICAL ALERT ALARM"
"GERMANTOWN PIKE & WHITEHALL RD;  EAST NORRITON; 2020-01-03 @ 19:02:58",19403,"EMS: SUBJECT IN PAIN"
"W WYNNEWOOD RD & ARGYLE RD; LOWER MERION; 2020-01-03 @ 19:15:09",19096,"Traffic: VEHICLE ACCIDENT"
"LIEBERMAN DR & WELSH RD;  LOWER MORELAND; 2020-01-03 @ 19:16:49",19046,"EMS: CARDIAC ARREST"
"LLOYD LN & DRAYTON LN;  LOWER MERION; 2020-01-03 @ 19:18:01",19096,"EMS: FALL VICTIM"
"UPLAND SQUARE DR & SELL RD;  WEST POTTSGROVE; 2020-01-03 @ 19:19:37",19464,"EMS: UNKNOWN MEDICAL EMERGENCY"
"LIEBERMAN DR & WELSH RD; LOWER MORELAND; 2020-01-03 @ 19:16:40",19046,"Fire: CARDIAC ARREST"
"WICKFIELD RD & E WYNNEWOOD RD; LOWER MERION; 2020-01-03 @ 19:18:34",19096,"Fire: FIRE ALARM"
"MANOR RD & GOLF VIEW DR; SPRINGFIELD; 2020-01-03 @ 19:23:12",19444,"Traffic: VEHICLE ACCIDENT"
"HAGYS FORD RD & CHERMAR LN;  LOWER MERION; 2020-01-03 @ 19:27:40",19072,"EMS: ABDOMINAL PAINS"
"HAGYS FORD RD & HOLLOW RD; LOWER MERION; 2020-01-03 @ 19:30:12",19072,"Traffic: VEHICLE ACCIDENT"
"MAIN ST & 2ND ST; EAST GREENVILLE; 2020-01-03 @ 19:43:35",18041,"Fire: FIRE ALARM"
"CHESTNUT LN & LIMEKILN PIKE;  HORSHAM; 2020-01-03 @ 19:54:35",19002,"EMS: CARDIAC EMERGENCY"
"CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; 2020-01-03 @ 19:56:30",19150,"EMS: SYNCOPAL EPISODE"
"RIDGE PIKE;  WHITEMARSH; 2020-01-03 @ 19:59:16",NA,"EMS: VEHICLE ACCIDENT"
"RT422 BYP & RAMP RT422 EB TO ARMAND HAMMER BLVD; LOWER POTTSGROVE; 2020-01-03 @ 19:59:10",19464,"Traffic: DISABLED VEHICLE"
"EASTON RD & LAWNTON RD;  UPPER MORELAND; 2020-01-03 @ 20:07:07",19090,"EMS: MEDICAL ALERT ALARM"
"OLD CEDARBROOK RD & MACDONALD AVE;  CHELTENHAM; 2020-01-03 @ 20:20:27",19095,"EMS: DIABETIC EMERGENCY"
"EASTON RD & W GLENSIDE AVE;  CHELTENHAM; 2020-01-03 @ 20:25:31",19038,"EMS: CARDIAC EMERGENCY"
"ROOSEVELT DR & DEAD END;  HORSHAM; 2020-01-03 @ 20:23:56",19044,"EMS: NAUSEA/VOMITING"
"SALFORDVILLE RD & HALDEMAN RD; LOWER SALFORD; 2020-01-03 @ 20:24:10",19438,"Traffic: VEHICLE ACCIDENT"
"NEW HANOVER SQUARE RD & HOLBROOK LN;  NEW HANOVER; 2020-01-03 @ 20:31:45",19525,"EMS: CHOKING"
"COUNTY LINE RD & MEETINGHOUSE RD;  HORSHAM; 2020-01-03 @ 20:36:02",19040,"EMS: SEIZURES"
"HORSHAM RD & UPPER STATE RD; MONTGOMERY; 2020-01-03 @ 20:40:08",19454,"Traffic: DISABLED VEHICLE"
"OAK DR & MAPLE AVE;  LOWER SALFORD; 2020-01-03 @ 20:43:35",19438,"EMS: FALL VICTIM"
"BRINDLE CT & SHIRE DR; WORCESTER; 2020-01-03 @ 20:57:41",19403,"Fire: GASODOR/LEAK"
"CITY AVE & HOLLINGSWORTH RD;  LOWER MERION; 2020-01-03 @ 21:02:24",19151,"EMS: SUBJECT IN PAIN"
"MAIN ST & LAWN AVE; WEST NORRITON; 2020-01-03 @ 21:06:22",19403,"Traffic: VEHICLE ACCIDENT"
"SUMNEYTOWN PIKE & RAMP I476 TO RT63; TOWAMENCIN; 2020-01-03 @ 21:10:07",NA,"Traffic: VEHICLE ACCIDENT"
"FORTY FOOT RD & WELSH RD;  TOWAMENCIN; 2020-01-03 @ 21:13:11",19446,"EMS: FALL VICTIM"
"GARFIELD AVE & WOODROW AVE; ABINGTON; 2020-01-03 @ 21:14:31",19038,"Traffic: VEHICLE ACCIDENT"
"MORELAND RD & CHERRY ST; ABINGTON; 2020-01-03 @ 21:12:24",19001,"Traffic: VEHICLE ACCIDENT"
"SUMNEYTOWN PIKE & OLD FORTY FOOT RD; TOWAMENCIN; 2020-01-03 @ 21:10:07",19438,"Traffic: VEHICLE ACCIDENT"
"BUCKWALTER RD & JOSHUA DR; LIMERICK; 2020-01-03 @ 21:40:38",19468,"Traffic: VEHICLE ACCIDENT"
"BAINTREE RD & W MONTGOMERY AVE; LOWER MERION; 2020-01-03 @ 21:48:13",19010,"Traffic: DISABLED VEHICLE"
"MONTGOMERY AVE & S WOODBINE AVE;  LOWER MERION; 2020-01-03 @ 22:04:27",19072,"EMS: BACK PAINS/INJURY"
"CATHCART RD & BOXWOOD LN;  WHITPAIN; 2020-01-03 @ 22:03:32",19422,"EMS: LACERATIONS"
"MAIN ST & 4TH ST;  GREEN LANE; 2020-01-03 @ 22:06:28",18054,"EMS: FALL VICTIM"
"PRIMROSE LN & HEATHER PL; UPPER POTTSGROVE; 2020-01-03 @ 22:06:53",19464,"Traffic: DISABLED VEHICLE"
"LEWIS RD & KNIGHT DR;  LIMERICK; 2020-01-03 @ 22:13:56",19468,"EMS: HEAD INJURY"
"GABLE AVE & W WALNUT ST;  POTTSTOWN; 2020-01-03 @ 22:11:50",19464,"EMS: NAUSEA/VOMITING"
"MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; 2020-01-03 @ 22:17:10",19438,"EMS: DIABETIC EMERGENCY"
"YORK RD & E MORELAND AVE; HATBORO; 2020-01-03 @ 22:19:38",19040,"Traffic: VEHICLE ACCIDENT"
"UNION AVE & CONSHOHOCKEN STATE RD; LOWER MERION; 2020-01-03 @ 22:23:23",19004,"Fire: FIRE ALARM"
"9TH ST & UNNAMED ALY;  NORTH WALES; 2020-01-03 @ 22:36:20",19454,"EMS: NAUSEA/VOMITING"
"WASHINGTON ST & 2ND AVE;  ROYERSFORD; 2020-01-03 @ 22:38:16",19468,"EMS: ABDOMINAL PAINS"
"NORRISTOWN RD & RADCLIFF LN;  LOWER GWYNEDD; 2020-01-03 @ 22:50:09",19002,"EMS: HEMORRHAGING"
"BLACK ROCK RD & S TRAPPE RD;  UPPER PROVIDENCE; 2020-01-03 @ 22:57:29",19468,"EMS: NAUSEA/VOMITING"
"ADAMS AVE & SWEDE RD; EAST NORRITON; 2020-01-03 @ 23:12:56",19401,"Traffic: VEHICLE ACCIDENT"
"TREETOP LN & HILLENDALE DR;  WEST NORRITON; 2020-01-03 @ 23:25:10",19403,"EMS: SEIZURES"
"EASTON RD;  ABINGTON; 2020-01-03 @ 23:35:11",NA,"EMS: UNCONSCIOUS SUBJECT"
"DEKALB PIKE & SKIPPACK PIKE; WHITPAIN; 2020-01-03 @ 23:34:47",19422,"Traffic: VEHICLE ACCIDENT"
"VAUGHN RD AND S 5TH AVE; UPPER PROVIDENCE; 2020-01-03 @ 23:37:57",19468,"Traffic: VEHICLE ACCIDENT"
"CHEMICAL RD & GALLAGHER RD;  PLYMOUTH; 2020-01-03 @ 23:42:58",19462,"EMS: HEAD INJURY"
"RED LION RD & MURRAY AVE;  LOWER MORELAND; 2020-01-03 @ 23:58:46",19006,"EMS: EMS SPECIAL SERVICE"
"HIGH ST & UNION ST;  POTTSTOWN; 2020-01-04 @ 00:00:46",19464,"EMS: SEIZURES"
"CRAWFORD AVE & FRONT ST;  WEST CONSHOHOCKEN; 2020-01-04 @ 00:08:26",19428,"EMS: OVERDOSE"
"EVANS ST & SPRUCE ALY;  POTTSTOWN; 2020-01-04 @ 00:19:40",19464,"EMS: DIABETIC EMERGENCY"
"GERMANTOWN PIKE & BRIDLE PATH RD;  EAST NORRITON; 2020-01-04 @ 00:20:47",19403,"EMS: UNCONSCIOUS SUBJECT"
"BETHLEHEM PIKE & TENNIS AVE;  AMBLER; 2020-01-04 @ 00:24:10",19002,"EMS: FALL VICTIM"
"CHARLOTTE ST & SWAMP PIKE;  NEW HANOVER; 2020-01-04 @ 00:33:37",19525,"EMS: EMS SPECIAL SERVICE"
"FAYETTE ST & E 13TH AVE;  PLYMOUTH; 2020-01-04 @ 00:34:02",19428,"EMS: FALL VICTIM"
"FAIRBOURNE CT & DILLON DR;  TOWAMENCIN; 2020-01-04 @ 00:35:13",19446,"EMS: HEAD INJURY"
"FAYETTE ST & E 13TH AVE;  PLYMOUTH; 2020-01-04 @ 00:59:17",19428,"EMS: MEDICAL ALERT ALARM"
"MORELAND AVE & S YORK RD;  HATBORO; 2020-01-04 @ 00:57:02",19040,"EMS: FALL VICTIM"
"SCHUYLKILL EXPY & RAMP I76 WB TO MATSONFORD RD;  LOWER MERION; 2020-01-04 @ 01:09:22",NA,"EMS: VEHICLE ACCIDENT"
"SCHUYLKILL EXPY & RAMP I76 WB TO MATSONFORD RD; LOWER MERION; 2020-01-04 @ 01:09:12",NA,"Fire: VEHICLE ACCIDENT"
"SCHUYLKILL EXPY & RAMP I76 WB TO MATSONFORD RD; LOWER MERION; 2020-01-04 @ 01:09:14",NA,"Traffic: VEHICLE ACCIDENT"
"HIGH ST & S WASHINGTON ST; POTTSTOWN; 2020-01-04 @ 01:14:06",19464,"Fire: FIRE ALARM"
"9TH AVE & HARRY ST; CONSHOHOCKEN; 2020-01-04 @ 01:15:12",19428,"Fire: FIRE INVESTIGATION"
"9TH AVE & HARRY ST;  CONSHOHOCKEN; 2020-01-04 @ 01:20:31",19428,"EMS: UNKNOWN MEDICAL EMERGENCY"
"W LAUREL AVE & FRANKLIN AVE; CHELTENHAM; 2020-01-04 @ 01:31:06",19012,"Traffic: VEHICLE ACCIDENT"
"BELMAR RD AND EDWARD RD;  UPPER MORELAND; 2020-01-04 @ 01:47:03",19040,"EMS: FALL VICTIM"
"WHITNEY LN & TERRACE DR;  UPPER DUBLIN; 2020-01-04 @ 01:51:26",19002,"EMS: FALL VICTIM"
"FORT BEVON RD & EASTER AVE;  SKIPPACK; 2020-01-04 @ 02:09:46",19438,"EMS: HEAD INJURY"
"E CHURCH RD;  CHELTENHAM; 2020-01-04 @ 02:09:16",19095,"EMS: VEHICLE ACCIDENT"
"E CHURCH RD & MILL RD; CHELTENHAM; 2020-01-04 @ 02:09:21",19027,"Traffic: VEHICLE ACCIDENT"
"WAVERLY RD & YOUNGS FORD RD;  LOWER MERION; 2020-01-04 @ 02:23:03",19035,"EMS: FALL VICTIM"
"LUTHERAN HOME DR & DEAD END;  TELFORD; 2020-01-04 @ 02:45:05",NA,"EMS: RESPIRATORY EMERGENCY"
"DAVISVILLE RD & PENNYPACK RD;  UPPER MORELAND; 2020-01-04 @ 02:50:46",19040,"EMS: GENERAL WEAKNESS"
"SPRINGHOUSE LN & FARM DR;  WHITPAIN; 2020-01-04 @ 02:52:33",19422,"EMS: FALL VICTIM"
"LANSDALE AVE & E 7TH ST;  LANSDALE; 2020-01-04 @ 02:53:46",19446,"EMS: RESPIRATORY EMERGENCY"
"ARCH ST & DARTMOUTH DR;  NORRISTOWN; 2020-01-04 @ 02:53:14",19401,"EMS: RESPIRATORY EMERGENCY"
"FAIRWAY LN & SAND TRAP CT;  WEST NORRITON; 2020-01-04 @ 02:52:03",19403,"EMS: SUBJECT IN PAIN"
"ALLENTOWN RD & WOODLAWN DR;  TOWAMENCIN; 2020-01-04 @ 03:00:27",19446,"EMS: CARDIAC EMERGENCY"
"BLUEROUTE  & RAMP I76 TO I476 NB; WEST CONSHOHOCKEN; 2020-01-04 @ 02:59:19",NA,"Traffic: VEHICLE ACCIDENT"
"FAIRWAY LN & SAND TRAP CT; WEST NORRITON; 2020-01-04 @ 03:05:54",19403,"Fire: FIRE SPECIAL SERVICE"
"BLUEROUTE  & RAMP I76 TO I476 NB; WEST CONSHOHOCKEN; 2020-01-04 @ 03:01:13",NA,"Fire: VEHICLE ACCIDENT"
"BLUEROUTE  & RAMP I76 TO I476 NB; WEST CONSHOHOCKEN; 2020-01-04 @ 03:02:06",NA,"Traffic: VEHICLE ACCIDENT"
"OAKLAND AVE & LAUREL LN;  LANSDALE; 2020-01-04 @ 03:09:16",19446,"EMS: SEIZURES"
"OLD YORK RD & WASHINGTON LN; JENKINTOWN; 2020-01-04 @ 03:08:24",19046,"Traffic: VEHICLE ACCIDENT"
"OLD YORK RD & WASHINGTON LN; JENKINTOWN; 2020-01-04 @ 03:09:31",19046,"Traffic: VEHICLE ACCIDENT"
"WALNUT ST & GREENWOOD AVE;  JENKINTOWN; 2020-01-04 @ 03:11:05",19046,"EMS: RESPIRATORY EMERGENCY"
"N CHARLOTTE ST & BIG RD; NEW HANOVER; 2020-01-04 @ 03:12:01",19525,"Traffic: VEHICLE ACCIDENT"
"ELM ST & BERKS ST;  POTTSTOWN; 2020-01-04 @ 03:18:48",19464,"EMS: HEAD INJURY"
"FITZWATERTOWN RD & BARTRAM RD;  UPPER MORELAND; 2020-01-04 @ 03:16:35",19090,"EMS: OVERDOSE"
"BIG RD & LAYFIELD RD; NEW HANOVER; 2020-01-04 @ 03:12:01",19525,"Traffic: VEHICLE ACCIDENT"
"KEIM ST & BROOKE RD;  LOWER POTTSGROVE; 2020-01-04 @ 03:38:31",19464,"EMS: FALL VICTIM"
"2ND ST & JOHNSON ST;  POTTSTOWN; 2020-01-04 @ 03:45:01",19464,"EMS: CARDIAC EMERGENCY"
"DEVONSHIRES CT & W BUTLER PIKE;  WHITPAIN; 2020-01-04 @ 03:45:53",19422,"EMS: OVERDOSE"
"VINE ST AND S BROAD ST;  LANSDALE; 2020-01-04 @ 03:41:51",19446,"EMS: RESPIRATORY EMERGENCY"
"2ND ST & JOHNSON ST; POTTSTOWN; 2020-01-04 @ 03:48:15",19464,"Fire: FIRE SPECIAL SERVICE"
"DEKALB PIKE & BLUE BELL SPRINGS DR; WHITPAIN; 2020-01-04 @ 03:48:13",19422,"Fire: FIRE ALARM"
"FAYETTE ST & E 13TH AVE;  PLYMOUTH; 2020-01-04 @ 03:49:03",19428,"EMS: FALL VICTIM"
"HORSHAM RD & LOWER STATE RD;  HORSHAM; 2020-01-04 @ 03:51:02",19454,"EMS: HEAD INJURY"
"GILBERTSVILLE RD & YODER AVE;  DOUGLASS; 2020-01-04 @ 04:04:20",19525,"EMS: CARDIAC EMERGENCY"
"LAURELWOOD RD & RIVER RD;  CHESTER COUNTY; 2020-01-04 @ 04:08:22",19465,"EMS: CARDIAC EMERGENCY"
"MAIN ST & E 9TH AVE;  COLLEGEVILLE; 2020-01-04 @ 04:10:12",19426,"EMS: RESPIRATORY EMERGENCY"
"BLUEROUTE  & RAMP I76 TO I476 NB; WEST CONSHOHOCKEN; 2020-01-04 @ 04:12:38",NA,"Fire: VEHICLE ACCIDENT"
"LINDLEY RD & TWICKENHAM RD;  CHELTENHAM; 2020-01-04 @ 04:14:17",19038,"EMS: RESPIRATORY EMERGENCY"
"MAIN ST & HAMILTON ST;  NORRISTOWN; 2020-01-04 @ 04:23:31",19401,"EMS: ASSAULT VICTIM"
"ORIOLE LN & LARK LN; LOWER MERION; 2020-01-04 @ 04:22:45",19085,"Fire: FIRE ALARM"
"7TH AVE & HARRY ST; CONSHOHOCKEN; 2020-01-04 @ 04:40:34",19428,"Fire: FIRE ALARM"
"BLUEROUTE  & RAMP I76 TO I476 NB; WEST CONSHOHOCKEN; 2020-01-04 @ 04:41:04",NA,"Traffic: VEHICLE ACCIDENT"
"7TH AVE & HARRY ST;  CONSHOHOCKEN; 2020-01-04 @ 04:50:50",19428,"EMS: BUILDING FIRE"
"NO LOCATION - NEIGHBORING COUNTY;  CONSHOHOCKEN; 2020-01-04 @ 04:46:48",19428,"EMS: RESPIRATORY EMERGENCY"
"KOHN ST & W OAK ST;  NORRISTOWN; 2020-01-04 @ 04:48:16",19401,"EMS: RESPIRATORY EMERGENCY"
"VALLEY GLEN RD AND GLEN WAY;  ABINGTON; 2020-01-04 @ 04:46:48",19027,"EMS: RESPIRATORY EMERGENCY"
"LUXOR LN & KELLY DR; NORRISTOWN; 2020-01-04 @ 04:58:40",19401,"Fire: CARBON MONOXIDE DETECTOR"
"LUXOR LN & KELLY DR;  NORRISTOWN; 2020-01-04 @ 04:58:56",19401,"EMS: CARBON MONOXIDE DETECTOR"
"ASTOR ST & W FORNANCE ST;  NORRISTOWN; 2020-01-04 @ 05:02:26",19401,"EMS: SEIZURES"
"CONESTOGA WAY & EAGLE STREAM DR;  LOWER PROVIDENCE; 2020-01-04 @ 05:10:09",19403,"EMS: FALL VICTIM"
"HARLEY CT & DESTINY WAY;  MONTGOMERY; 2020-01-04 @ 05:07:57",19454,"EMS: HEAD INJURY"
"KING ST & PENN ST;  POTTSTOWN; 2020-01-04 @ 05:18:56",19464,"EMS: UNKNOWN MEDICAL EMERGENCY"
"OLD SCHUYLKILL RD & CONNECTING ROAD;  CHESTER COUNTY; 2020-01-04 @ 05:18:22",19087,"EMS: FRACTURE"
"OLD YORK RD & BAEDER RD;  ABINGTON; 2020-01-04 @ 05:24:29",19046,"EMS: CARDIAC EMERGENCY"
"DOGWOOD DR & GREEN HILL DR;  MARLBOROUGH; 2020-01-04 @ 05:23:50",18054,"EMS: GENERAL WEAKNESS"
"MORELAND RD & BARTRAM RD;  UPPER MORELAND; 2020-01-04 @ 05:26:50",19090,"EMS: HEAD INJURY"
"RIDGE PIKE & BUTLER PIKE; PLYMOUTH; 2020-01-04 @ 05:36:37",19428,"Traffic: DISABLED VEHICLE"
"LINDA VISTA AVE AND CHELTENA AVE;  JENKINTOWN; 2020-01-04 @ 05:45:49",19046,"EMS: HEMORRHAGING"
"MAPLE AVE & YODER RD;  FRANCONIA; 2020-01-04 @ 05:46:20",19438,"EMS: BACK PAINS/INJURY"
"MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; 2020-01-04 @ 05:48:56",19438,"EMS: FALL VICTIM"
"RAMP I476 NB TO GERMANTOWN PIKE & BLUEROUTE NB; PLYMOUTH; 2020-01-04 @ 06:10:46",NA,"Traffic: DISABLED VEHICLE"
"LODGES LN & SNOWDEN RD;  LOWER MERION; 2020-01-04 @ 06:21:35",19004,"EMS: RESPIRATORY EMERGENCY"
"MINE RUN RD & N LIMERICK RD; LIMERICK; 2020-01-04 @ 06:36:49",19473,"Traffic: VEHICLE ACCIDENT"
"RELIANCE RD & STATION ALY;  TELFORD; 2020-01-04 @ 07:06:37",18969,"EMS: RESPIRATORY EMERGENCY"
"SWEDE ST & W MARSHALL ST; NORRISTOWN; 2020-01-04 @ 07:25:20",19401,"Fire: FIRE INVESTIGATION"
"WOODLAND AVE & BRIMFIELD RD; LOWER PROVIDENCE; 2020-01-04 @ 07:29:40",19403,"Fire: FIRE ALARM"
"NEW SECOND ST & COVENTRY AVE; CHELTENHAM; 2020-01-04 @ 07:35:52",19027,"Fire: VEHICLE ACCIDENT"
"GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; 2020-01-04 @ 07:34:04",19401,"EMS: ALTERED MENTAL STATUS"
"NEW SECOND ST & COVENTRY AVE; CHELTENHAM; 2020-01-04 @ 07:35:46",19027,"Traffic: VEHICLE ACCIDENT"
"LINDA VISTA AVE & CHELTENA AVE;  JENKINTOWN; 2020-01-04 @ 07:38:51",19046,"EMS: HEMORRHAGING"
"NEW SECOND ST & COVENTRY AVE;  CHELTENHAM; 2020-01-04 @ 07:36:05",19027,"EMS: VEHICLE ACCIDENT"
"LANCASTER AVE & GARRETT AVE; DELAWARE COUNTY; 2020-01-04 @ 07:44:22",19010,"Fire: ELECTRICAL FIRE OUTSIDE"
"SWEDE ST & W MARSHALL ST;  NORRISTOWN; 2020-01-04 @ 07:47:50",19401,"EMS: FIRE INVESTIGATION"
"GERMANTOWN PIKE & HALLOWELL RD;  PLYMOUTH; 2020-01-04 @ 07:57:14",19462,"EMS: CARDIAC EMERGENCY"
"GERMANTOWN PIKE & BRIDLE PATH RD;  EAST NORRITON; 2020-01-04 @ 07:59:42",19403,"EMS: CVA/STROKE"
"NORRISTOWN RD & RADCLIFF LN;  LOWER GWYNEDD; 2020-01-04 @ 08:09:38",19002,"EMS: GENERAL WEAKNESS"
"MAIN ST & BARBADOES ST;  NORRISTOWN; 2020-01-04 @ 08:10:52",19401,"EMS: OVERDOSE"
"SCHOOL RD & PHEASANT MEADOW RD;  WHITPAIN; 2020-01-04 @ 08:08:01",19406,"EMS: SUBJECT IN PAIN"
"RAMP I276 WB TO I76  & PENNSYLVANIA TPKE WB; UPPER MERION; 2020-01-04 @ 08:08:47",NA,"Traffic: VEHICLE ACCIDENT"
"N BETHLEHEM PIKE;  LOWER GWYNEDD; 2020-01-04 @ 08:12:48",NA,"EMS: VEHICLE ACCIDENT"
"ARCOLA RD & S COLLEGEVILLE RD; UPPER PROVIDENCE; 2020-01-04 @ 08:13:51",19426,"Traffic: VEHICLE ACCIDENT"
"E CITY AVE & PRESIDENTIAL BLVD; LOWER MERION; 2020-01-04 @ 08:15:05",19004,"Traffic: VEHICLE ACCIDENT"
"N BETHLEHEM PIKE & CEDAR HILL RD; LOWER GWYNEDD; 2020-01-04 @ 08:12:57",19002,"Traffic: VEHICLE ACCIDENT"
"TWIN SILO DR & MORRIS RD;  WHITPAIN; 2020-01-04 @ 08:17:47",19422,"EMS: FALL VICTIM"
"ROLLING HILL DR & COLONIAL CT;  MONTGOMERY; 2020-01-04 @ 08:45:46",19454,"EMS: BACK PAINS/INJURY"
"FORESMAN DR & ARBOR ALY;  POTTSTOWN; 2020-01-04 @ 08:41:42",NA,"EMS: CARDIAC EMERGENCY"
"FAYETTE ST & E 1ST AVE; CONSHOHOCKEN; 2020-01-04 @ 08:49:52",19428,"Fire: FIRE ALARM"
"SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-04 @ 08:51:33",19403,"EMS: MEDICAL ALERT ALARM"
"KING ST & MANATAWNY ST; POTTSTOWN; 2020-01-04 @ 08:55:45",19464,"Traffic: VEHICLE ACCIDENT"
"WADE AVE & WITMER RD; HORSHAM; 2020-01-04 @ 08:56:27",19044,"Traffic: ROAD OBSTRUCTION"
"TROOPER RD & BOULEVARD OF THE GENERALS; LOWER PROVIDENCE; 2020-01-04 @ 08:59:26",19403,"Traffic: VEHICLE ACCIDENT"
"ROBIN DR & HUMMINGBIRD CIR;  FRANCONIA; 2020-01-04 @ 09:01:37",18964,"EMS: FALL VICTIM"
"S YORK RD;  HATBORO; 2020-01-04 @ 09:03:57",NA,"EMS: VEHICLE ACCIDENT"
"SPRING MILL AVE & E 4TH AVE; CONSHOHOCKEN; 2020-01-04 @ 09:04:26",19428,"Fire: FIRE ALARM"
"S YORK RD & RORER AVE; HATBORO; 2020-01-04 @ 09:04:50",19040,"Traffic: VEHICLE ACCIDENT"
