desc,zip,title,address,towns,dt,date,time
BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06,19001,Fire: FIRE ALARM,BRADFIELD RD & SUSQUEHANNA RD, ABINGTON, 2020-01-01 @ 00:04:06, 2020-01-01 , 00:04:06
GULPH RD & KIRK AVE;  UPPER MERION; 2020-01-04 @ 18:24:34,19406,EMS: CARDIAC EMERGENCY,GULPH RD & KIRK AVE,  UPPER MERION, 2020-01-04 @ 18:24:34, 2020-01-04 , 18:24:34
OLD ARCH RD & BIRCHWOOD DR;  EAST NORRITON; 2020-01-04 @ 18:25:44,19401,EMS: RESPIRATORY EMERGENCY,OLD ARCH RD & BIRCHWOOD DR,  EAST NORRITON, 2020-01-04 @ 18:25:44, 2020-01-04 , 18:25:44
MAIN ST & HARVARD DR;  TRAPPE; 2020-01-04 @ 18:23:50,19426,EMS: SYNCOPAL EPISODE,MAIN ST & HARVARD DR,  TRAPPE, 2020-01-04 @ 18:23:50, 2020-01-04 , 18:23:50
NEW GULPH RD; UPPER MERION; 2020-01-04 @ 18:22:26,19406,Fire: GASODOR/LEAK,NEW GULPH RD, UPPER MERION, 2020-01-04 @ 18:22:26, 2020-01-04 , 18:22:26
E MONTGOMERY AVE & CHERRY LN; LOWER MERION; 2020-01-04 @ 18:25:50,19096,Traffic: VEHICLE ACCIDENT,E MONTGOMERY AVE & CHERRY LN, LOWER MERION, 2020-01-04 @ 18:25:50, 2020-01-04 , 18:25:50
KELLY LN & JENKINTOWN RD;  ABINGTON; 2020-01-04 @ 18:30:40,19038,EMS: SEIZURES,KELLY LN & JENKINTOWN RD,  ABINGTON, 2020-01-04 @ 18:30:40, 2020-01-04 , 18:30:40
SUSQUEHANNA RD & DREXEL AVE; UPPER DUBLIN; 2020-01-04 @ 18:35:26,19034,Fire: FIRE ALARM,SUSQUEHANNA RD & DREXEL AVE, UPPER DUBLIN, 2020-01-04 @ 18:35:26, 2020-01-04 , 18:35:26
BELMONT AVE & COLWYN LN;  LOWER MERION; 2020-01-04 @ 18:33:30,19004,EMS: HEMORRHAGING,BELMONT AVE & COLWYN LN,  LOWER MERION, 2020-01-04 @ 18:33:30, 2020-01-04 , 18:33:30
CHILTON CT & ALDEN CMNS;  PLYMOUTH; 2020-01-04 @ 18:34:48,NA,EMS: UNKNOWN MEDICAL EMERGENCY,CHILTON CT & ALDEN CMNS,  PLYMOUTH, 2020-01-04 @ 18:34:48, 2020-01-04 , 18:34:48
EXTENSION PENNSYLVANIA TPKE & HALTEMAN RD ACCESS GATE; SALFORD; 2020-01-04 @ 18:32:08,18964,Traffic: DISABLED VEHICLE,EXTENSION PENNSYLVANIA TPKE & HALTEMAN RD ACCESS GATE, SALFORD, 2020-01-04 @ 18:32:08, 2020-01-04 , 18:32:08
CITY AVE & HOLLINGSWORTH RD;  LOWER MERION; 2020-01-04 @ 18:51:10,19151,EMS: ABDOMINAL PAINS,CITY AVE & HOLLINGSWORTH RD,  LOWER MERION, 2020-01-04 @ 18:51:10, 2020-01-04 , 18:51:10
BALL RD & GREYHORSE RD; UPPER MORELAND; 2020-01-04 @ 18:55:51,19090,Fire: CARBON MONOXIDE DETECTOR,BALL RD & GREYHORSE RD, UPPER MORELAND, 2020-01-04 @ 18:55:51, 2020-01-04 , 18:55:51
WAVERLY RD & YOUNGS FORD RD; LOWER MERION; 2020-01-04 @ 18:53:41,19035,Fire: FIRE ALARM,WAVERLY RD & YOUNGS FORD RD, LOWER MERION, 2020-01-04 @ 18:53:41, 2020-01-04 , 18:53:41
GODDARD BLVD & VALLEY GREEN LN;  UPPER MERION; 2020-01-04 @ 18:54:55,19406,EMS: ALLERGIC REACTION,GODDARD BLVD & VALLEY GREEN LN,  UPPER MERION, 2020-01-04 @ 18:54:55, 2020-01-04 , 18:54:55
ITHAN AVE & POND LN;  LOWER MERION; 2020-01-04 @ 18:54:18,19010,EMS: MEDICAL ALERT ALARM,ITHAN AVE & POND LN,  LOWER MERION, 2020-01-04 @ 18:54:18, 2020-01-04 , 18:54:18
JACKSONVILLE RD & MEADOWBROOK AVE;  HATBORO; 2020-01-04 @ 18:58:26,19040,EMS: HEAD INJURY,JACKSONVILLE RD & MEADOWBROOK AVE,  HATBORO, 2020-01-04 @ 18:58:26, 2020-01-04 , 18:58:26
W MARSHALL ST & BURNSIDE AVE; WEST NORRITON; 2020-01-04 @ 19:03:46,19403,Traffic: VEHICLE ACCIDENT,W MARSHALL ST & BURNSIDE AVE, WEST NORRITON, 2020-01-04 @ 19:03:46, 2020-01-04 , 19:03:46
BARRY AVE & DANA DR;  LOWER PROVIDENCE; 2020-01-04 @ 19:06:00,19403,EMS: SUBJECT IN PAIN,BARRY AVE & DANA DR,  LOWER PROVIDENCE, 2020-01-04 @ 19:06:00, 2020-01-04 , 19:06:00
NO LOCATION - NEIGHBORING COUNTY;  LOWER MORELAND; 2020-01-04 @ 19:08:12,NA,EMS: VEHICLE ACCIDENT,NO LOCATION - NEIGHBORING COUNTY,  LOWER MORELAND, 2020-01-04 @ 19:08:12, 2020-01-04 , 19:08:12
N GULPH RD;  UPPER MERION; 2020-01-04 @ 19:08:12,NA,EMS: VEHICLE ACCIDENT,N GULPH RD,  UPPER MERION, 2020-01-04 @ 19:08:12, 2020-01-04 , 19:08:12
EXTENSION PENNSYLVANIA TPKE & WAMBOLD RD ACCESS GATE; SALFORD; 2020-01-04 @ 19:06:51,19438,Traffic: DISABLED VEHICLE,EXTENSION PENNSYLVANIA TPKE & WAMBOLD RD ACCESS GATE, SALFORD, 2020-01-04 @ 19:06:51, 2020-01-04 , 19:06:51
N GULPH RD & VILLAGE DR; UPPER MERION; 2020-01-04 @ 19:04:51,19406,Traffic: VEHICLE ACCIDENT,N GULPH RD & VILLAGE DR, UPPER MERION, 2020-01-04 @ 19:04:51, 2020-01-04 , 19:04:51
DEKALB PIKE & BRANDYWINE LN;  UPPER MERION; 2020-01-04 @ 19:11:45,19406,EMS: CARDIAC EMERGENCY,DEKALB PIKE & BRANDYWINE LN,  UPPER MERION, 2020-01-04 @ 19:11:45, 2020-01-04 , 19:11:45
EAGLEVILLE RD & SUNDERLAND DR;  LOWER PROVIDENCE; 2020-01-04 @ 19:19:31,19403,EMS: CARDIAC EMERGENCY,EAGLEVILLE RD & SUNDERLAND DR,  LOWER PROVIDENCE, 2020-01-04 @ 19:19:31, 2020-01-04 , 19:19:31
W MONTGOMERY AVE & PENNSWOOD RD; LOWER MERION; 2020-01-04 @ 19:20:05,19041,Traffic: DISABLED VEHICLE,W MONTGOMERY AVE & PENNSWOOD RD, LOWER MERION, 2020-01-04 @ 19:20:05, 2020-01-04 , 19:20:05
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-04 @ 19:22:18,19403,EMS: HEAD INJURY,SHANNONDELL DR & SHANNONDELL BLVD,  LOWER PROVIDENCE, 2020-01-04 @ 19:22:18, 2020-01-04 , 19:22:18
MARSHALL ST & N MONTGOMERY AVE;  WEST NORRITON; 2020-01-04 @ 19:27:30,19403,EMS: UNKNOWN MEDICAL EMERGENCY,MARSHALL ST & N MONTGOMERY AVE,  WEST NORRITON, 2020-01-04 @ 19:27:30, 2020-01-04 , 19:27:30
OVERLOOK DR & S SCHUYLKILL AVE;  WEST NORRITON; 2020-01-04 @ 19:28:47,19403,EMS: UNKNOWN MEDICAL EMERGENCY,OVERLOOK DR & S SCHUYLKILL AVE,  WEST NORRITON, 2020-01-04 @ 19:28:47, 2020-01-04 , 19:28:47
STORE RD; SKIPPACK; 2020-01-04 @ 19:29:48,19438,Fire: GASODOR/LEAK,STORE RD, SKIPPACK, 2020-01-04 @ 19:29:48, 2020-01-04 , 19:29:48
MORRIS AVE & SPRING MILL RD; LOWER MERION; 2020-01-04 @ 19:34:53,19085,Traffic: VEHICLE ACCIDENT,MORRIS AVE & SPRING MILL RD, LOWER MERION, 2020-01-04 @ 19:34:53, 2020-01-04 , 19:34:53
ANCHOR PKWY & DIAMOND WAY; LIMERICK; 2020-01-04 @ 19:36:46,19468,Fire: FIRE INVESTIGATION,ANCHOR PKWY & DIAMOND WAY, LIMERICK, 2020-01-04 @ 19:36:46, 2020-01-04 , 19:36:46
JACKSONVILLE RD & TANNER AVE;  HATBORO; 2020-01-04 @ 19:37:49,19040,EMS: HEAD INJURY,JACKSONVILLE RD & TANNER AVE,  HATBORO, 2020-01-04 @ 19:37:49, 2020-01-04 , 19:37:49
2ND AVE & MAIN ST;  LOWER FREDERICK; 2020-01-04 @ 19:42:04,19473,EMS: BACK PAINS/INJURY,2ND AVE & MAIN ST,  LOWER FREDERICK, 2020-01-04 @ 19:42:04, 2020-01-04 , 19:42:04
STORE RD & SKIPPACK PIKE; SKIPPACK; 2020-01-04 @ 19:29:48,19426,Fire: GASODOR/LEAK,STORE RD & SKIPPACK PIKE, SKIPPACK, 2020-01-04 @ 19:29:48, 2020-01-04 , 19:29:48
4TH ST & MAIN ST; EAST GREENVILLE; 2020-01-04 @ 19:42:52,18041,Traffic: VEHICLE ACCIDENT,4TH ST & MAIN ST, EAST GREENVILLE, 2020-01-04 @ 19:42:52, 2020-01-04 , 19:42:52
LOCUST ST & DOGWOOD DR;  NORRISTOWN; 2020-01-04 @ 19:47:44,19401,EMS: ASSAULT VICTIM,LOCUST ST & DOGWOOD DR,  NORRISTOWN, 2020-01-04 @ 19:47:44, 2020-01-04 , 19:47:44
4TH ST; EAST GREENVILLE; 2020-01-04 @ 19:48:55,18041,Fire: VEHICLE ACCIDENT,4TH ST, EAST GREENVILLE, 2020-01-04 @ 19:48:55, 2020-01-04 , 19:48:55
CRANBERRY CT & CHERRYDALE DR; WHITEMARSH; 2020-01-04 @ 19:47:01,19444,Fire: BUILDING FIRE,CRANBERRY CT & CHERRYDALE DR, WHITEMARSH, 2020-01-04 @ 19:47:01, 2020-01-04 , 19:47:01
SKIPPACK PIKE & CEDARS RD;  SKIPPACK; 2020-01-04 @ 19:59:14,19438,EMS: UNCONSCIOUS SUBJECT,SKIPPACK PIKE & CEDARS RD,  SKIPPACK, 2020-01-04 @ 19:59:14, 2020-01-04 , 19:59:14
HERITAGE DR & E HIGH ST; LOWER POTTSGROVE; 2020-01-04 @ 20:02:49,19464,Fire: FIRE ALARM,HERITAGE DR & E HIGH ST, LOWER POTTSGROVE, 2020-01-04 @ 20:02:49, 2020-01-04 , 20:02:49
OLD WELSH RD & RESERVOIR AVE; ABINGTON; 2020-01-04 @ 20:09:00,19090,Traffic: DISABLED VEHICLE,OLD WELSH RD & RESERVOIR AVE, ABINGTON, 2020-01-04 @ 20:09:00, 2020-01-04 , 20:09:00
POWELL ST;  NORRISTOWN; 2020-01-04 @ 20:12:38,19401,EMS: FEVER,POWELL ST,  NORRISTOWN, 2020-01-04 @ 20:12:38, 2020-01-04 , 20:12:38
BEECH ST & JOHNSON ST;  POTTSTOWN; 2020-01-04 @ 20:21:32,19464,EMS: SYNCOPAL EPISODE,BEECH ST & JOHNSON ST,  POTTSTOWN, 2020-01-04 @ 20:21:32, 2020-01-04 , 20:21:32
BALA AVE & MONTGOMERY AVE; LOWER MERION; 2020-01-04 @ 20:22:59,19004,Traffic: VEHICLE ACCIDENT,BALA AVE & MONTGOMERY AVE, LOWER MERION, 2020-01-04 @ 20:22:59, 2020-01-04 , 20:22:59
POWELL ST & E WOOD ST;  NORRISTOWN; 2020-01-04 @ 20:12:38,19401,EMS: FEVER,POWELL ST & E WOOD ST,  NORRISTOWN, 2020-01-04 @ 20:12:38, 2020-01-04 , 20:12:38
GERMANTOWN PIKE & ATRIUM WAY; PLYMOUTH; 2020-01-04 @ 20:32:03,19462,Fire: ELEVATOR EMERGENCY,GERMANTOWN PIKE & ATRIUM WAY, PLYMOUTH, 2020-01-04 @ 20:32:03, 2020-01-04 , 20:32:03
BROAD ST & E 6TH ST;  LANSDALE; 2020-01-04 @ 20:42:57,19446,EMS: RESPIRATORY EMERGENCY,BROAD ST & E 6TH ST,  LANSDALE, 2020-01-04 @ 20:42:57, 2020-01-04 , 20:42:57
SEMINOLE AVE & SURREY RD; CHELTENHAM; 2020-01-04 @ 20:48:03,19027,Fire: FIRE ALARM,SEMINOLE AVE & SURREY RD, CHELTENHAM, 2020-01-04 @ 20:48:03, 2020-01-04 , 20:48:03
MONTGOMERY AVE & VALLEY RD; LOWER MERION; 2020-01-04 @ 20:48:13,19003,Traffic: DISABLED VEHICLE,MONTGOMERY AVE & VALLEY RD, LOWER MERION, 2020-01-04 @ 20:48:13, 2020-01-04 , 20:48:13
DEVON LN & GREENSHIRE BLVD; PERKIOMEN; 2020-01-04 @ 21:04:15,19473,Fire: FIRE INVESTIGATION,DEVON LN & GREENSHIRE BLVD, PERKIOMEN, 2020-01-04 @ 21:04:15, 2020-01-04 , 21:04:15
MAPLEWOOD DR & CRESCENT CIR;  FRANCONIA; 2020-01-04 @ 21:13:05,19438,EMS: FALL VICTIM,MAPLEWOOD DR & CRESCENT CIR,  FRANCONIA, 2020-01-04 @ 21:13:05, 2020-01-04 , 21:13:05
E BUTLER PIKE & MORRIS RD; UPPER DUBLIN; 2020-01-04 @ 21:20:57,19002,Traffic: VEHICLE ACCIDENT,E BUTLER PIKE & MORRIS RD, UPPER DUBLIN, 2020-01-04 @ 21:20:57, 2020-01-04 , 21:20:57
FITZWATERTOWN RD;  UPPER MORELAND; 2020-01-04 @ 21:24:34,19090,EMS: CARDIAC EMERGENCY,FITZWATERTOWN RD,  UPPER MORELAND, 2020-01-04 @ 21:24:34, 2020-01-04 , 21:24:34
E BUTLER PIKE & MORRIS RD; UPPER DUBLIN; 2020-01-04 @ 21:30:16,19002,Traffic: VEHICLE ACCIDENT,E BUTLER PIKE & MORRIS RD, UPPER DUBLIN, 2020-01-04 @ 21:30:16, 2020-01-04 , 21:30:16
MOORE RD & W 8TH AVE; UPPER MERION; 2020-01-04 @ 21:30:47,19406,Fire: GASODOR/LEAK,MOORE RD & W 8TH AVE, UPPER MERION, 2020-01-04 @ 21:30:47, 2020-01-04 , 21:30:47
RADCLIFFE RD & BUTTONWOOD WAY;  CHELTENHAM; 2020-01-04 @ 21:26:47,19038,EMS: FALL VICTIM,RADCLIFFE RD & BUTTONWOOD WAY,  CHELTENHAM, 2020-01-04 @ 21:26:47, 2020-01-04 , 21:26:47
CHAIN ST & W BLACKBERRY ALY;  NORRISTOWN; 2020-01-04 @ 21:30:03,19401,EMS: GENERAL WEAKNESS,CHAIN ST & W BLACKBERRY ALY,  NORRISTOWN, 2020-01-04 @ 21:30:03, 2020-01-04 , 21:30:03
FITZWATERTOWN RD & BARTRAM RD;  UPPER MORELAND; 2020-01-04 @ 21:24:34,19090,EMS: CARDIAC EMERGENCY,FITZWATERTOWN RD & BARTRAM RD,  UPPER MORELAND, 2020-01-04 @ 21:24:34, 2020-01-04 , 21:24:34
JEFRON DR & BUTLER PIKE; WHITEMARSH; 2020-01-04 @ 21:28:46,19002,Traffic: VEHICLE ACCIDENT,JEFRON DR & BUTLER PIKE, WHITEMARSH, 2020-01-04 @ 21:28:46, 2020-01-04 , 21:28:46
MAIN ST & S CHESTNUT ST;  LANSDALE; 2020-01-04 @ 21:32:52,19446,EMS: CVA/STROKE,MAIN ST & S CHESTNUT ST,  LANSDALE, 2020-01-04 @ 21:32:52, 2020-01-04 , 21:32:52
HORSHAM RD & GREEN TREE TAVERN RD;  HORSHAM; 2020-01-04 @ 21:33:36,19454,EMS: CARDIAC ARREST,HORSHAM RD & GREEN TREE TAVERN RD,  HORSHAM, 2020-01-04 @ 21:33:36, 2020-01-04 , 21:33:36
JEFRON DR & W BUTLER PIKE; WHITEMARSH; 2020-01-04 @ 21:30:16,19002,Traffic: VEHICLE ACCIDENT,JEFRON DR & W BUTLER PIKE, WHITEMARSH, 2020-01-04 @ 21:30:16, 2020-01-04 , 21:30:16
JEFRON DR & W BUTLER PIKE; WHITEMARSH; 2020-01-04 @ 21:20:57,19002,Traffic: VEHICLE ACCIDENT,JEFRON DR & W BUTLER PIKE, WHITEMARSH, 2020-01-04 @ 21:20:57, 2020-01-04 , 21:20:57
BUTLER PIKE AND DETWEILER LN; WHITEMARSH; 2020-01-04 @ 21:20:57,19002,Traffic: VEHICLE ACCIDENT,BUTLER PIKE & DETWEILER LN, WHITEMARSH, 2020-01-04 @ 21:20:57, 2020-01-04 , 21:20:57
BUTLER PIKE & DETWEILER LN; WHITEMARSH; 2020-01-04 @ 21:30:16,19002,Traffic: VEHICLE ACCIDENT,BUTLER PIKE & DETWEILER LN, WHITEMARSH, 2020-01-04 @ 21:30:16, 2020-01-04 , 21:30:16
POTTSTOWN AVE & WASHINGTON ST; PENNSBURG; 2020-01-04 @ 21:37:30,18073,Traffic: VEHICLE ACCIDENT,POTTSTOWN AVE & WASHINGTON ST, PENNSBURG, 2020-01-04 @ 21:37:30, 2020-01-04 , 21:37:30
BUTLER PIKE & DETWEILER LN; WHITEMARSH; 2020-01-04 @ 21:45:21,19002,Traffic: VEHICLE ACCIDENT,BUTLER PIKE & DETWEILER LN, WHITEMARSH, 2020-01-04 @ 21:45:21, 2020-01-04 , 21:45:21
POTTSTOWN AVE & WASHINGTON ST; PENNSBURG; 2020-01-04 @ 21:46:07,18073,Traffic: VEHICLE ACCIDENT,POTTSTOWN AVE & WASHINGTON ST, PENNSBURG, 2020-01-04 @ 21:46:07, 2020-01-04 , 21:46:07
MOORE RD & W 8TH AVE;  UPPER MERION; 2020-01-04 @ 21:55:42,19406,EMS: GASODOR/LEAK,MOORE RD & W 8TH AVE,  UPPER MERION, 2020-01-04 @ 21:55:42, 2020-01-04 , 21:55:42
OLD DOUGLASS DR & MARYS LN;  BERKS COUNTY; 2020-01-04 @ 21:54:08,19518,EMS: CARDIAC EMERGENCY,OLD DOUGLASS DR & MARYS LN,  BERKS COUNTY, 2020-01-04 @ 21:54:08, 2020-01-04 , 21:54:08
FORNANCE ST & GREEN VALLEY RD;  NORRISTOWN; 2020-01-04 @ 22:00:36,19401,EMS: CARDIAC EMERGENCY,FORNANCE ST & GREEN VALLEY RD,  NORRISTOWN, 2020-01-04 @ 22:00:36, 2020-01-04 , 22:00:36
IVY HILL RD & BAYARD ST;  SPRINGFIELD; 2020-01-04 @ 22:03:51,19150,EMS: RESPIRATORY EMERGENCY,IVY HILL RD & BAYARD ST,  SPRINGFIELD, 2020-01-04 @ 22:03:51, 2020-01-04 , 22:03:51
CRAWFORD AVE & FRONT ST; WEST CONSHOHOCKEN; 2020-01-04 @ 22:04:29,19428,Traffic: DISABLED VEHICLE,CRAWFORD AVE & FRONT ST, WEST CONSHOHOCKEN, 2020-01-04 @ 22:04:29, 2020-01-04 , 22:04:29
RADCLIFFE AVE & BRADFIELD RD;  ABINGTON; 2020-01-04 @ 22:12:54,19001,EMS: SYNCOPAL EPISODE,RADCLIFFE AVE & BRADFIELD RD,  ABINGTON, 2020-01-04 @ 22:12:54, 2020-01-04 , 22:12:54
CHELTENHAM AVE & OLD YORK RD; CHELTENHAM; 2020-01-04 @ 22:17:11,19126,Traffic: DISABLED VEHICLE,CHELTENHAM AVE & OLD YORK RD, CHELTENHAM, 2020-01-04 @ 22:17:11, 2020-01-04 , 22:17:11
CHELTENHAM AVE & 79TH AVE;  CHELTENHAM; 2020-01-04 @ 22:22:05,19150,EMS: UNCONSCIOUS SUBJECT,CHELTENHAM AVE & 79TH AVE,  CHELTENHAM, 2020-01-04 @ 22:22:05, 2020-01-04 , 22:22:05
BROAD ST & HUDSON ALY;  LANSDALE; 2020-01-04 @ 22:30:21,19446,EMS: CVA/STROKE,BROAD ST & HUDSON ALY,  LANSDALE, 2020-01-04 @ 22:30:21, 2020-01-04 , 22:30:21
HORSHAM RD & CHESTNUT LN;  HORSHAM; 2020-01-04 @ 22:31:22,19002,EMS: FALL VICTIM,HORSHAM RD & CHESTNUT LN,  HORSHAM, 2020-01-04 @ 22:31:22, 2020-01-04 , 22:31:22
GROVANIA AVE & WAYNE AVE;  ABINGTON; 2020-01-04 @ 22:40:53,19001,EMS: HEMORRHAGING,GROVANIA AVE & WAYNE AVE,  ABINGTON, 2020-01-04 @ 22:40:53, 2020-01-04 , 22:40:53
SHAFFER RD & W DEKALB PIKE;  UPPER MERION; 2020-01-04 @ 22:44:40,19406,EMS: CARDIAC ARREST,SHAFFER RD & W DEKALB PIKE,  UPPER MERION, 2020-01-04 @ 22:44:40, 2020-01-04 , 22:44:40
MEADOWVIEW LN & NORWOOD ST;  UPPER PROVIDENCE; 2020-01-04 @ 22:46:42,19453,EMS: CARDIAC EMERGENCY,MEADOWVIEW LN & NORWOOD ST,  UPPER PROVIDENCE, 2020-01-04 @ 22:46:42, 2020-01-04 , 22:46:42
E CITY AVE AND CONSHOHOCKEN STATE RD; LOWER MERION; 2020-01-04 @ 23:04:57,19004,Traffic: DISABLED VEHICLE,E CITY AVE & CONSHOHOCKEN STATE RD, LOWER MERION, 2020-01-04 @ 23:04:57, 2020-01-04 , 23:04:57
LINE ST & PROSPECT AVE;  LANSDALE; 2020-01-04 @ 23:11:16,19446,EMS: MATERNITY,LINE ST & PROSPECT AVE,  LANSDALE, 2020-01-04 @ 23:11:16, 2020-01-04 , 23:11:16
DAVISVILLE RD & N YORK RD; UPPER MORELAND; 2020-01-04 @ 23:20:51,19090,Fire: FIRE INVESTIGATION,DAVISVILLE RD & N YORK RD, UPPER MORELAND, 2020-01-04 @ 23:20:51, 2020-01-04 , 23:20:51
PINE ST & E 12TH AVE;  WHITEMARSH; 2020-01-04 @ 23:19:27,19428,EMS: FALL VICTIM,PINE ST & E 12TH AVE,  WHITEMARSH, 2020-01-04 @ 23:19:27, 2020-01-04 , 23:19:27
MOSER RD & QUEEN ST;  POTTSTOWN; 2020-01-04 @ 23:16:42,19464,EMS: SUBJECT IN PAIN,MOSER RD & QUEEN ST,  POTTSTOWN, 2020-01-04 @ 23:16:42, 2020-01-04 , 23:16:42
FRANKLIN AVE & ELM AVE;  CHELTENHAM; 2020-01-04 @ 23:22:54,19012,EMS: RESPIRATORY EMERGENCY,FRANKLIN AVE & ELM AVE,  CHELTENHAM, 2020-01-04 @ 23:22:54, 2020-01-04 , 23:22:54
SKIPPACK PIKE & CRESSMAN RD; SKIPPACK; 2020-01-04 @ 23:23:06,19473,Traffic: DISABLED VEHICLE,SKIPPACK PIKE & CRESSMAN RD, SKIPPACK, 2020-01-04 @ 23:23:06, 2020-01-04 , 23:23:06
NORRISTOWN RD & RADCLIFF LN;  LOWER GWYNEDD; 2020-01-04 @ 23:33:02,19002,EMS: LACERATIONS,NORRISTOWN RD & RADCLIFF LN,  LOWER GWYNEDD, 2020-01-04 @ 23:33:02, 2020-01-04 , 23:33:02
TWIN SILO DR & MORRIS RD;  WHITPAIN; 2020-01-04 @ 23:40:30,19422,EMS: SUBJECT IN PAIN,TWIN SILO DR & MORRIS RD,  WHITPAIN, 2020-01-04 @ 23:40:30, 2020-01-04 , 23:40:30
DAVISVILLE RD & N YORK RD; UPPER MORELAND; 2020-01-04 @ 23:43:59,19090,Fire: FIRE INVESTIGATION,DAVISVILLE RD & N YORK RD, UPPER MORELAND, 2020-01-04 @ 23:43:59, 2020-01-04 , 23:43:59
NO LOCATION - NEIGHBORING COUNTY; ; 2020-01-04 @ 23:51:51,NA,EMS: RESPIRATORY EMERGENCY,NO LOCATION - NEIGHBORING COUNTY, , 2020-01-04 @ 23:51:51, 2020-01-04 , 23:51:51
ARTMAN RD & OVERLOOK RD;  AMBLER; 2020-01-04 @ 23:55:52,19002,EMS: CARDIAC EMERGENCY,ARTMAN RD & OVERLOOK RD,  AMBLER, 2020-01-04 @ 23:55:52, 2020-01-04 , 23:55:52
FORNANCE ST & GREEN VALLEY RD;  NORRISTOWN; 2020-01-04 @ 23:52:24,19401,EMS: SUBJECT IN PAIN,FORNANCE ST & GREEN VALLEY RD,  NORRISTOWN, 2020-01-04 @ 23:52:24, 2020-01-04 , 23:52:24
MAIN ST & HAWS AVE;  NORRISTOWN; 2020-01-04 @ 23:51:51,19401,EMS: RESPIRATORY EMERGENCY,MAIN ST & HAWS AVE,  NORRISTOWN, 2020-01-04 @ 23:51:51, 2020-01-04 , 23:51:51
BRICE LN & CAMBURN RD;  WHITEMARSH; 2020-01-05 @ 00:03:06,19462,EMS: OVERDOSE,BRICE LN & CAMBURN RD,  WHITEMARSH, 2020-01-05 @ 00:03:06, 2020-01-05 , 00:03:06
FAIRVIEW RD & MARVIN RD;  CHELTENHAM; 2020-01-05 @ 00:08:18,19027,EMS: SYNCOPAL EPISODE,FAIRVIEW RD & MARVIN RD,  CHELTENHAM, 2020-01-05 @ 00:08:18, 2020-01-05 , 00:08:18
DOGWOOD CT & CHERRYWOOD CT;  LOWER POTTSGROVE; 2020-01-05 @ 00:17:13,19464,EMS: FALL VICTIM,DOGWOOD CT & CHERRYWOOD CT,  LOWER POTTSGROVE, 2020-01-05 @ 00:17:13, 2020-01-05 , 00:17:13
PENLLYN PIKE & FOXFIELD RD;  LOWER GWYNEDD; 2020-01-05 @ 00:16:16,19002,EMS: SUBJECT IN PAIN,PENLLYN PIKE & FOXFIELD RD,  LOWER GWYNEDD, 2020-01-05 @ 00:16:16, 2020-01-05 , 00:16:16
4TH AVE & MAIN ST;  ROYERSFORD; 2020-01-05 @ 00:21:03,19468,EMS: ASSAULT VICTIM,4TH AVE & MAIN ST,  ROYERSFORD, 2020-01-05 @ 00:21:03, 2020-01-05 , 00:21:03
DAVISVILLE RD AND N YORK RD; UPPER MORELAND; 2020-01-05 @ 00:39:45,19090,Fire: FIRE INVESTIGATION,DAVISVILLE RD & N YORK RD, UPPER MORELAND, 2020-01-05 @ 00:39:45, 2020-01-05 , 00:39:45
STANBRIDGE ST & W AIRY ST;  NORRISTOWN; 2020-01-05 @ 00:47:05,19401,EMS: RESPIRATORY EMERGENCY,STANBRIDGE ST & W AIRY ST,  NORRISTOWN, 2020-01-05 @ 00:47:05, 2020-01-05 , 00:47:05
MAPLE AVE & YODER RD;  FRANCONIA; 2020-01-05 @ 00:55:05,19438,EMS: SYNCOPAL EPISODE,MAPLE AVE & YODER RD,  FRANCONIA, 2020-01-05 @ 00:55:05, 2020-01-05 , 00:55:05
HIFFLETRAYER RD & UPPER RIDGE RD;  MARLBOROUGH; 2020-01-05 @ 00:33:50,18073,EMS: BARRICADED SUBJECT,HIFFLETRAYER RD & UPPER RIDGE RD,  MARLBOROUGH, 2020-01-05 @ 00:33:50, 2020-01-05 , 00:33:50
ROBBINS AVE & MONTGOMERY AVE;  ROCKLEDGE; 2020-01-05 @ 01:01:04,19046,EMS: LACERATIONS,ROBBINS AVE & MONTGOMERY AVE,  ROCKLEDGE, 2020-01-05 @ 01:01:04, 2020-01-05 , 01:01:04
STENTON AVE & NEWTON ST;  SPRINGFIELD; 2020-01-05 @ 01:07:13,19038,EMS: RESPIRATORY EMERGENCY,STENTON AVE & NEWTON ST,  SPRINGFIELD, 2020-01-05 @ 01:07:13, 2020-01-05 , 01:07:13
PINECROFT PL AND MORRIS RD; WHITPAIN; 2020-01-05 @ 01:07:49,19422,Traffic: VEHICLE ACCIDENT,PINECROFT PL & MORRIS RD, WHITPAIN, 2020-01-05 @ 01:07:49, 2020-01-05 , 01:07:49
PINECROFT PL; WHITPAIN; 2020-01-05 @ 01:14:46,NA,Fire: VEHICLE ACCIDENT,PINECROFT PL, WHITPAIN, 2020-01-05 @ 01:14:46, 2020-01-05 , 01:14:46
NANTUCKET CIR & DEAD END;  UPPER MERION; 2020-01-05 @ 01:22:30,NA,EMS: SEIZURES,NANTUCKET CIR & DEAD END,  UPPER MERION, 2020-01-05 @ 01:22:30, 2020-01-05 , 01:22:30
